Wall time,Step,Value
1712808058.0668557,640,0.09465806931257248
1712808067.8300173,642,0.07278905063867569
1712808077.111704,644,0.15030737221240997
1712808086.7947853,646,0.2135472297668457
1712808091.4680672,647,0.10183847695589066
1712808105.523186,650,0.3602653741836548
1712808115.2578802,652,0.046876922249794006
1712808119.9110613,653,0.30822041630744934
1712808138.9824567,657,0.31949126720428467
1712808157.3009212,661,0.30191588401794434
1712808171.696136,664,0.09118331223726273
1712808176.4252813,665,0.13196609914302826
1712808181.1965516,666,0.3198391795158386
1712808185.8809006,667,0.13632242381572723
1712808190.6084282,668,0.19333994388580322
1712808213.8707116,673,0.3133978545665741
1712808223.1551855,675,0.762552797794342
1712808227.9124827,676,0.21955043077468872
1712808232.6099436,677,0.31819504499435425
1712808236.6995592,678,0.22337830066680908
1712808241.7119753,679,0.10011833906173706
1712808255.6473777,682,0.15639635920524597
1712808265.426147,684,0.16045105457305908
1712808298.0944576,691,0.30699217319488525
1712808312.6472378,694,0.024121487513184547
1712808336.435378,699,0.05662762001156807
1712808341.1271036,700,0.31500697135925293
1712808345.7612011,701,0.11252371221780777
1712808360.2263389,704,0.12124559283256531
1712808369.6956542,706,0.31875374913215637
1712808374.308791,707,0.3486553728580475
1712808378.9877326,708,0.2574819326400757
1712808393.1950498,711,0.14670826494693756
1712808417.0658689,716,0.12778770923614502
1712808426.431905,718,0.3880608081817627
1712808435.6940393,720,0.40308353304862976
1712808440.4077148,721,0.35006001591682434
1712808449.7699628,723,0.18526536226272583
1712808464.1630456,726,0.051600515842437744
1712808468.7516081,727,0.25883612036705017
1712808478.4478068,729,0.26407667994499207
1712808498.125325,733,0.6195456385612488
1712808503.244329,734,0.13366463780403137
1712808513.3394697,736,0.04639539495110512
1712808527.7423074,739,0.1038375124335289
1712808537.0548782,741,0.08049415796995163
1712808551.1391506,744,0.06262431293725967
1712808555.663221,745,0.028653090819716454
1712808564.9429612,747,0.2638663053512573
1712808574.3608615,749,0.06767647713422775
1712808579.0713394,750,0.17122496664524078
1712808588.4713428,752,0.04435553029179573
1712808593.544999,753,0.3006901741027832
1712808603.2389612,755,0.24297790229320526
1712808607.873588,756,0.3294927179813385
1712808612.4522367,757,0.24741701781749725
1712808636.3585565,762,0.135968416929245
1712808654.9661865,766,0.35622715950012207
1712808659.9654243,767,0.011377881281077862
1712808664.6726031,768,0.1885816603899002
1712808718.2084825,779,0.027236858382821083
1712808722.2505348,780,0.019146645441651344
1712808731.9530926,782,0.26135581731796265
1712808760.3903034,788,0.5243811011314392
1712808765.0420377,789,0.3008008301258087
1712808779.3154185,792,0.13202735781669617
1712808784.0088987,793,0.12551723420619965
1712808799.0990903,796,0.0759611502289772
1712808813.1271782,799,0.09905606508255005
1712808817.7825136,800,0.38973045349121094
1712808827.1153688,802,0.1180311068892479
1712808831.7925467,803,0.3938690423965454
1712808836.4431322,804,0.26819679141044617
1712808840.5349703,805,0.2189289927482605
1712808845.231854,806,0.058117929846048355
1712808873.9574764,812,0.06659925729036331
1712808888.7743502,815,0.11658456176519394
1712808926.2970707,823,0.14215172827243805
1712808950.5653114,828,0.07835904508829117
1712808955.29941,829,0.23952512443065643
1712808960.4922676,830,0.3396432101726532
1712808965.5357776,831,0.06333490461111069
1712808979.9421525,834,0.08885779231786728
